"","Site","RCP","Period","Rgroup","GCM","M.Bmass","SD.Bmass","Med.Bmass","MAT","MAP","Site_Type"
"12021",28,"RCP45","Late","shrub","bcc-csm1-1",8.53003811,0.852749595992192,8.4881645,6.28228201,408.9984985,"unn"
"12022",28,"RCP45","Late","shrub","CanESM2",8.92450129,0.994561362869458,8.755835,7.85319639,494.58799957,"unn"
"12023",28,"RCP45","Late","shrub","CCSM4",8.46295928,0.875332612940806,8.406158,7.08965073,451.70899993,"unn"
"12024",28,"RCP45","Late","shrub","CNRM-CM5",9.16852529,1.08286339678141,9.0917045,6.90020449,500.42990055,"unn"
"12025",28,"RCP45","Late","shrub","CSIRO-Mk3-6-0",9.03078037,1.06044368058031,8.9044955,7.07334678,490.29300172,"unn"
"12026",28,"RCP45","Late","shrub","GFDL-ESM2G",8.4571602,0.81176500880668,8.4316305,5.91480613,549.91120122,"unn"
"12027",28,"RCP45","Late","shrub","GFDL-ESM2M",8.66352097,0.925440015033094,8.533156,5.53462605,470.19320068,"unn"
"12028",28,"RCP45","Late","shrub","HadGEM2-CC365",8.94375589,0.827295477419785,8.9962745,7.34507813,445.52690036,"unn"
"12029",28,"RCP45","Late","shrub","HadGEM2-ES365",9.13400814,0.835404778566424,9.11405,8.12023143,438.78849917,"unn"
"12030",28,"RCP45","Late","shrub","inmcm4",8.50936144,0.956004417301735,8.3907605,5.96933498,421.19120026,"unn"
"12031",28,"RCP45","Late","shrub","IPSL-CM5A-LR",8.6510058,0.942579538670913,8.4418625,7.25406082,424.83209964,"unn"
"12032",28,"RCP45","Late","shrub","IPSL-CM5A-MR",8.6014213,0.84141268750929,8.4688,7.36662145,433.8939011,"unn"
"12033",28,"RCP45","Late","shrub","MIROC-ESM",8.66917339,0.749464956099004,8.755447,8.87397985,525.67820128,"unn"
"12034",28,"RCP45","Late","shrub","MIROC-ESM-CHEM",8.59242373,0.984823478522137,8.527819,8.67535899,523.68830017,"unn"
"12035",28,"RCP45","Late","shrub","MIROC5",8.33757078,0.773967265641302,8.262009,7.73638657,472.2507019,"unn"
"12036",28,"RCP45","Late","shrub","MRI-CGCM3",8.77273703,0.950847885713061,8.8076985,5.7927054,460.94859923,"unn"
"12037",28,"RCP45","Late","shrub","NorESM1-M",8.730112,1.00695882971986,8.7255275,7.33050678,476.51030092,"unn"
"12038",28,"RCP45","Mid","a.forb","bcc-csm1-1",3.561854365,0.141779484788999,3.53905175,5.92291539,400.69259978,"unn"
"12039",28,"RCP45","Mid","a.forb","CanESM2",4.267199685,0.246340364200483,4.18075725,6.68194645,489.81130066,"unn"
"12040",28,"RCP45","Mid","a.forb","CCSM4",3.553182335,0.154874838460252,3.584023,6.20717301,441.08619962,"unn"
"12041",28,"RCP45","Mid","a.forb","CNRM-CM5",4.18528271,0.124303933215155,4.17463725,5.57659481,508.75109956,"unn"
"12042",28,"RCP45","Mid","a.forb","CSIRO-Mk3-6-0",3.94082846,0.142962987955363,3.949331,6.02119062,498.15700012,"unn"
"12043",28,"RCP45","Mid","a.forb","GFDL-ESM2G",3.964090385,0.18366837632908,3.924581,5.63263157,460.60850103,"unn"
"12044",28,"RCP45","Mid","a.forb","GFDL-ESM2M",3.934010845,0.121916908796575,3.94483325,5.04215798,476.60820039,"unn"
"12045",28,"RCP45","Mid","a.forb","HadGEM2-CC365",3.54202045,0.164187488991797,3.51558575,6.26104212,451.93439932,"unn"
"12046",28,"RCP45","Mid","a.forb","HadGEM2-ES365",4.561200405,0.143732352202216,4.55991625,6.60771654,426.57260043,"unn"
"12047",28,"RCP45","Mid","a.forb","inmcm4",6.09256433,0.177679259289932,6.095738,5.01142753,414.83110084,"unn"
"12048",28,"RCP45","Mid","a.forb","IPSL-CM5A-LR",5.75181049,0.154025223166342,5.75091625,6.42501892,428.64009947,"unn"
"12049",28,"RCP45","Mid","a.forb","IPSL-CM5A-MR",5.556147665,0.150995622538461,5.50183125,6.33450013,432.64670045,"unn"
"12050",28,"RCP45","Mid","a.forb","MIROC-ESM",6.446548475,0.204630427785614,6.44644275,7.32166459,504.44449947,"unn"
"12051",28,"RCP45","Mid","a.forb","MIROC-ESM-CHEM",3.888130865,0.137930995414673,3.86337275,7.11085816,517.26690372,"unn"
"12052",28,"RCP45","Mid","a.forb","MIROC5",6.67602931,0.160968317687792,6.65131975,6.75350315,497.5091992,"unn"
"12053",28,"RCP45","Mid","a.forb","MRI-CGCM3",5.9900102,0.181976702831962,5.97767925,4.95675319,439.21420014,"unn"
"12054",28,"RCP45","Mid","a.forb","NorESM1-M",6.358776665,0.17525480062553,6.342718,6.09040839,460.99039913,"unn"
"12055",28,"RCP45","Mid","p.cool.grass","bcc-csm1-1",70.74980338,5.52651722945227,69.6314275,5.92291539,400.69259978,"unn"
"12056",28,"RCP45","Mid","p.cool.grass","CanESM2",72.00757447,6.65830016976737,73.112476,6.68194645,489.81130066,"unn"
"12057",28,"RCP45","Mid","p.cool.grass","CCSM4",69.79300947,5.78385686054001,70.233227,6.20717301,441.08619962,"unn"
"12058",28,"RCP45","Mid","p.cool.grass","CNRM-CM5",70.69737025,6.41039662178505,71.8925555,5.57659481,508.75109956,"unn"
"12059",28,"RCP45","Mid","p.cool.grass","CSIRO-Mk3-6-0",69.00054188,8.32351445314561,67.9399755,6.02119062,498.15700012,"unn"
"12060",28,"RCP45","Mid","p.cool.grass","GFDL-ESM2G",69.8531378,7.03149382237644,70.406231,5.63263157,460.60850103,"unn"
"12061",28,"RCP45","Mid","p.cool.grass","GFDL-ESM2M",69.46575956,6.29443962128286,68.627022,5.04215798,476.60820039,"unn"
"12062",28,"RCP45","Mid","p.cool.grass","HadGEM2-CC365",69.59713816,6.71219748599162,67.5387765,6.26104212,451.93439932,"unn"
"12063",28,"RCP45","Mid","p.cool.grass","HadGEM2-ES365",76.87562004,5.56208542996376,76.764618,6.60771654,426.57260043,"unn"
"12064",28,"RCP45","Mid","p.cool.grass","inmcm4",70.77121224,4.98730680569327,70.9543115,5.01142753,414.83110084,"unn"
"12065",28,"RCP45","Mid","p.cool.grass","IPSL-CM5A-LR",74.00759958,4.94194260649069,73.2056235,6.42501892,428.64009947,"unn"
"12066",28,"RCP45","Mid","p.cool.grass","IPSL-CM5A-MR",70.37923917,4.97543863468026,69.902687,6.33450013,432.64670045,"unn"
"12067",28,"RCP45","Mid","p.cool.grass","MIROC-ESM",71.3495321,4.1851696523759,72.0231895,7.32166459,504.44449947,"unn"
"12068",28,"RCP45","Mid","p.cool.grass","MIROC-ESM-CHEM",71.19538095,8.13155186670042,70.383865,7.11085816,517.26690372,"unn"
"12069",28,"RCP45","Mid","p.cool.grass","MIROC5",71.85510951,5.99982945124645,71.8279455,6.75350315,497.5091992,"unn"
"12070",28,"RCP45","Mid","p.cool.grass","MRI-CGCM3",72.89044976,4.24677118751442,73.1655235,4.95675319,439.21420014,"unn"
"12071",28,"RCP45","Mid","p.cool.grass","NorESM1-M",68.26140811,5.57073762640147,67.5045855,6.09040839,460.99039913,"unn"
"12072",28,"RCP45","Mid","p.forb","bcc-csm1-1",18.65798143,1.47443972984644,18.65740975,5.92291539,400.69259978,"unn"
