"","Site","RCP","Period","Rgroup","Median_Biomass","Percent_Change"
"164","7","RCP85","Late","p.cool.grass",6.68501006999999,10.4519274834012
"165","7","RCP85","Late","p.forb",-0.749420445000002,-4.32831194597304
"166","7","RCP85","Late","p.warm.grass",9.91785517,28.5959691159554
"167","7","RCP85","Late","sagebrush",233.86963115,55.9047423318891
"168","7","RCP85","Late","shrub",-0.0971917399999995,-1.23802582705688
"169","8","RCP45","Mid","a.forb",0.31354407,5.64405044301094
"170","8","RCP45","Mid","p.cool.grass",3.54701586,5.25766844627024
"171","8","RCP45","Mid","p.forb",1.726698165,10.0780873855823
"172","8","RCP45","Mid","p.warm.grass",10.00737366,30.3080753921577
"173","8","RCP45","Mid","sagebrush",291.1521737,66.6623589832193
"174","8","RCP45","Mid","shrub",0.72016024,9.19961993226936
"175","8","RCP45","Late","a.forb",0.984348075,17.7190727567602
"176","8","RCP45","Late","p.cool.grass",3.01628497999999,4.47097701003931
"177","8","RCP45","Late","p.forb",1.684912765,9.83420173076583
"178","8","RCP45","Late","p.warm.grass",10.22952318,30.9808717350587
"179","8","RCP45","Late","sagebrush",295.17477321,67.5833755402093
"180","8","RCP45","Late","shrub",0.665675390000001,8.50360828899021
"181","8","RCP85","Mid","a.forb",0.28562609,5.14150390342252
"182","8","RCP85","Mid","p.cool.grass",5.01426596,7.43254300506537
"183","8","RCP85","Mid","p.forb",1.39350552,8.13336730617962
"184","8","RCP85","Mid","p.warm.grass",9.90786682,30.0067115267502
"185","8","RCP85","Mid","sagebrush",289.56287194,66.2984715936409
"186","8","RCP85","Mid","shrub",0.740223030000001,9.45591017509218
"187","8","RCP85","Late","a.forb",0.74706218,13.4477320141495
"188","8","RCP85","Late","p.cool.grass",3.16159474,4.68636667003568
"189","8","RCP85","Late","p.forb",-1.58131227,-9.22952462913726
"190","8","RCP85","Late","p.warm.grass",11.10026896,33.6179900884113
"191","8","RCP85","Late","sagebrush",233.39298914,53.4377848823778
"192","8","RCP85","Late","shrub",-0.45527379,-5.81585264013438
"193","9","RCP45","Mid","a.forb",0.0599014249999996,1.0335356775797
"194","9","RCP45","Mid","p.cool.grass",-1.11120948,-1.54185858911559
"195","9","RCP45","Mid","p.forb",-0.273306140000003,-1.44857689059143
"196","9","RCP45","Mid","p.warm.grass",-3.26903983,-7.58016952855813
"197","9","RCP45","Mid","sagebrush",-109.59676636,-16.6466240020135
"198","9","RCP45","Mid","shrub",-0.44226617,-5.05963750862861
"199","9","RCP45","Late","a.forb",0.466035294999999,8.04094567689975
"200","9","RCP45","Late","p.cool.grass",-1.39875309,-1.94083969286194
"201","9","RCP45","Late","p.forb",-0.734907510000003,-3.89515594383676
"202","9","RCP45","Late","p.warm.grass",-1.65439466,-3.83616983643215
"203","9","RCP45","Late","sagebrush",-115.60613643,-17.5593856405791
"204","9","RCP45","Late","shrub",-0.47537303,-5.4383884102608
"205","9","RCP85","Mid","a.forb",0.294903785,5.0882526292287
"206","9","RCP85","Mid","p.cool.grass",-1.50970341,-2.09478879691127
"207","9","RCP85","Mid","p.forb",-0.607508640000002,-3.21991659879512
"208","9","RCP85","Mid","p.warm.grass",-3.20673856,-7.43570686887725
"209","9","RCP85","Mid","sagebrush",-123.90082667,-18.8192639583836
"210","9","RCP85","Mid","shrub",-0.42140255,-4.82095238758991
"211","9","RCP85","Late","a.forb",0.62108633,10.7161871510076
"212","9","RCP85","Late","p.cool.grass",-3.27288893000001,-4.54129666707114
"213","9","RCP85","Late","p.forb",-4.32821831,-22.9404177355863
"214","9","RCP85","Late","p.warm.grass",-0.368266660000003,-0.853927715685219
"215","9","RCP85","Late","sagebrush",-147.76601041,-22.4441404365252
"216","9","RCP85","Late","shrub",-1.90336875,-21.7750227657059
"217","10","RCP45","Mid","a.forb",0.0320120849999999,0.541510792424204
"218","10","RCP45","Mid","p.cool.grass",2.83333065000001,4.2700945456796
"219","10","RCP45","Mid","p.forb",0.653557844999998,3.665498594541
"220","10","RCP45","Mid","p.warm.grass",-1.15354826999999,-2.83304093865797
"221","10","RCP45","Mid","sagebrush",-73.77055719,-12.2312680765629
"222","10","RCP45","Mid","shrub",-0.0376529999999988,-0.446404287797287
"223","10","RCP45","Late","a.forb",0.53012669,8.9675297309476
"224","10","RCP45","Late","p.cool.grass",4.46860709000001,6.73460923517492
"225","10","RCP45","Late","p.forb",0.549901134999999,3.08413685628546
"226","10","RCP45","Late","p.warm.grass",-0.724985239999995,-1.78051748527417
"227","10","RCP45","Late","sagebrush",-90.33549436,-14.977759290881
"228","10","RCP45","Late","shrub",-0.30199788,-3.58040922470174
"229","10","RCP85","Mid","a.forb",0.2872202,4.85856632275714
"230","10","RCP85","Mid","p.cool.grass",3.89034761000001,5.86311806222075
"231","10","RCP85","Mid","p.forb",0.391127694999998,2.19365129999864
"232","10","RCP85","Mid","p.warm.grass",-2.18147805,-5.35757088208695
"233","10","RCP85","Mid","sagebrush",-84.55649323,-14.019592310337
"234","10","RCP85","Mid","shrub",-0.26394084,-3.12921474253901
"235","10","RCP85","Late","a.forb",0.173055405,2.92737475534137
"236","10","RCP85","Late","p.cool.grass",3.4663189,5.2240670987257
"237","10","RCP85","Late","p.forb",-3.72707058,-20.9033861000401
"238","10","RCP85","Late","p.warm.grass",2.27642207,5.59074733645482
"239","10","RCP85","Late","sagebrush",-112.31716612,-18.6223531547324
"240","10","RCP85","Late","shrub",-1.73324975,-20.5489634351473
"241","13","RCP45","Mid","a.forb",0.70803043,13.1227059772457
"242","13","RCP45","Mid","p.cool.grass",5.35610577999999,8.10427935993875
"243","13","RCP45","Mid","p.forb",1.09892712,6.19538937483686
"244","13","RCP45","Mid","p.warm.grass",10.40507704,31.8050437647107
"245","13","RCP45","Mid","sagebrush",281.34094202,65.348015334072
"246","13","RCP45","Mid","shrub",0.1383966,1.66139404990068
